dataset_id,name,description,category,publisher,jurisdiction,geographic_coverage,source_url,api_url,download_url,portal_type,format,licence,attribution_requirement,signup_required,api_key_required,pricing_free_allowance,update_frequency,last_updated,bulk_download_available,automated_access_allowed,recommended_ric_integration_method,priority,expected_user_value,import_difficulty,trust_policy,enabled_state,notes,current_status,cost_type,connector_key,local_raw_path,paging_method,geographic_query_support,rate_limits,daily_cap,monthly_cap,monthly_budget_aud
portal_nsw_open_data,NSW Open Data,Discovery portal for VanAssist-relevant open datasets (NSW Open Data).,state_portal,NSW Open Data,NSW,NSW,https://data.nsw.gov.au/,https://data.nsw.gov.au/data/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each NSW Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_transport_nsw,Transport for NSW Open Data,Discovery portal for VanAssist-relevant open datasets (Transport for NSW Open Data).,state_transport,Transport for NSW Open Data,NSW,NSW,https://opendata.transport.nsw.gov.au/,https://opendata.transport.nsw.gov.au/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each Transport for NSW Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_datavic,DataVic,Discovery portal for VanAssist-relevant open datasets (DataVic).,state_portal,DataVic,VIC,VIC,https://www.data.vic.gov.au/,https://discover.data.vic.gov.au/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each DataVic dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_wa_open_data,WA Open Data,Discovery portal for VanAssist-relevant open datasets (WA Open Data).,state_portal,WA Open Data,WA,WA,https://catalogue.data.wa.gov.au/,https://catalogue.data.wa.gov.au/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each WA Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_sa_data_directory,SA Data Directory,Discovery portal for VanAssist-relevant open datasets (SA Data Directory).,state_portal,SA Data Directory,SA,SA,https://data.sa.gov.au/,https://data.sa.gov.au/data/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each SA Data Directory dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_tas_open_data,Tasmania Open Data,Discovery portal for VanAssist-relevant open datasets (Tasmania Open Data).,state_portal,Tasmania Open Data,TAS,TAS,https://www.data.tas.gov.au/,,,open_data,portal,Portal-specific — verify per child dataset,Preserve attribution required by each Tasmania Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_act_open_data,ACT Open Data,Discovery portal for VanAssist-relevant open datasets (ACT Open Data).,state_portal,ACT Open Data,ACT,ACT,https://www.data.act.gov.au/,,,open_data,portal,Portal-specific — verify per child dataset,Preserve attribution required by each ACT Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
portal_nt_open_data,NT Open Data,Discovery portal for VanAssist-relevant open datasets (NT Open Data).,state_portal,NT Open Data,NT,NT,https://data.nt.gov.au/,,,open_data,portal,Portal-specific — verify per child dataset,Preserve attribution required by each NT Open Data dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_council_open_data_portals,Council open-data portal discovery,Discovery portal for VanAssist-relevant open datasets (Council open-data portal discovery).,council_portals,Council open-data portal discovery,AU,AU,https://data.gov.au/,https://data.gov.au/data/api/3/action,,ckan,portal,Portal-specific — verify per child dataset,Preserve attribution required by each Council open-data portal discovery dataset,False,False,free open data where licence permits,as published,,False,True,portal_discovery,high,high,medium,trusted_review,False,Portal only. Enable child datasets after licence citation.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_dump_points,Dump points,Multi-source theme programme for dump points across government and open data.,dump_points,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,critical,critical,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_dump_points,,,False,,0,0,0.0
theme_drinking_water,Drinking water,Multi-source theme programme for drinking water across government and open data.,drinking_water,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_drinking_water,,,False,,0,0,0.0
theme_rest_areas,Rest areas,Multi-source theme programme for rest areas across government and open data.,rest_areas,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_rest_areas,,,False,,0,0,0.0
theme_visitor_information_centres,Visitor Information Centres,Multi-source theme programme for visitor information centres across government and open data.,visitor_information,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_visitor_information_centres,,,False,,0,0,0.0
theme_caravan_parks,Caravan parks,Multi-source theme programme for caravan parks across government and open data.,caravan_parks,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,critical,critical,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_caravan_parks,,,False,,0,0,0.0
theme_campgrounds,Campgrounds,Multi-source theme programme for campgrounds across government and open data.,campgrounds,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,critical,critical,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,theme_campgrounds,,,False,,0,0,0.0
theme_public_showers,Public showers,Multi-source theme programme for public showers across government and open data.,public_showers,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_laundries,Laundries,Multi-source theme programme for laundries across government and open data.,laundries,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,community_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_fuel_stations,Fuel stations,Multi-source theme programme for fuel stations across government and open data.,fuel_stations,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_lpg,LPG refill or exchange,Multi-source theme programme for lpg refill or exchange across government and open data.,lpg,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_hospitals,Hospitals,Multi-source theme programme for hospitals across government and open data.,hospitals,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_medical_centres,Medical centres,Multi-source theme programme for medical centres across government and open data.,medical_centres,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_pharmacies,Pharmacies,Multi-source theme programme for pharmacies across government and open data.,pharmacies,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_emergency_services,Emergency services,Multi-source theme programme for emergency services across government and open data.,emergency_services,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_boat_ramps,Boat ramps,Multi-source theme programme for boat ramps across government and open data.,boat_ramps,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_picnic_areas,Picnic areas,Multi-source theme programme for picnic areas across government and open data.,picnic_areas,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,low,low,medium,community_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_barbecues,Barbecues,Multi-source theme programme for barbecues across government and open data.,barbecues,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,low,low,medium,community_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_waste_disposal,Waste disposal,Multi-source theme programme for waste disposal across government and open data.,waste_disposal,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_ev_charging,EV charging,Multi-source theme programme for ev charging across government and open data.,ev_charging,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_weighbridges,Weighbridges,Multi-source theme programme for weighbridges across government and open data.,weighbridges,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,low,low,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_roadside_stopping,Roadside stopping places,Multi-source theme programme for roadside stopping places across government and open data.,roadside_stopping,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_national_parks,National parks and reserves,Multi-source theme programme for national parks and reserves across government and open data.,national_parks,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_rv_repair,Caravan and RV repair providers,Multi-source theme programme for caravan and rv repair providers across government and open data.,rv_repair,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,high,high,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_auto_electricians,Auto electricians,Multi-source theme programme for auto electricians across government and open data.,auto_electricians,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_mobile_mechanics,Mobile mechanics,Multi-source theme programme for mobile mechanics across government and open data.,mobile_mechanics,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_tyre_services,Tyre services,Multi-source theme programme for tyre services across government and open data.,tyre_services,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_towing_recovery,Towing and recovery,Multi-source theme programme for towing and recovery across government and open data.,towing_recovery,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,trusted_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
theme_caravan_parts,Caravan parts and accessories,Multi-source theme programme for caravan parts and accessories across government and open data.,caravan_parts,Multi-source theme (government / open / tourism),AU,Australia — assembled from verified open sources,https://data.gov.au/,https://data.gov.au/data/api/3/action,,theme,mixed,Per contributing dataset,Preserve source attribution per contributing dataset,False,False,free open data where licence permits,as published,,False,True,theme_aggregator,medium,medium,medium,community_review,False,Prefer specific verified child datasets before paid research APIs.,verified,free,gov_open_data_pack,,,False,,0,0,0.0
au_toilet_map_dump_points,National Public Toilet Map — dump-point attributes,Dump-point coverage derived from National Public Toilet Map DumpPoint attribute (not a separate federal dump-point register).,dump_points,"Department of Health, Disability and Ageing (via data.gov.au)",AU,Australia,https://data.gov.au/data/dataset/national-public-toilet-map,https://data.gov.au/data/api/3/action,,ckan,csv,CC BY 3.0 AU,© Commonwealth of Australia — National Public Toilet Map (data.gov.au),False,False,free open data where licence permits,as published,,True,True,national_public_toilet_map,critical,critical,low,trusted_review,False,Filter DumpPoint=true from Toiletmap.csv. Batehaven: Corrigans Beach (FacilityID 9277).,download_ready,free,national_public_toilet_map,raw/au_national_public_toilet_map/Toiletmap.csv,,False,,0,0,0.0
paid_google_places,Google Places API,Connector-ready paid/research API stub for Google Places API.,paid_research,Google Places API,AU,Configurable; vendor coverage varies,https://developers.google.com/maps/documentation/places/web-service,https://developers.google.com/maps/documentation/places/web-service,,paid_api,json,Vendor terms — verify on vendor portal before enablement,Vendor attribution required when results are used,True,True,Confirm on vendor portal; seed caps are guardrails only,as published,,False,False,google_places_research,low,medium,high,web_research_review,False,Disabled by default. Owner signup + secure key storage required. Confirm current Places SKU pricing on Google Cloud before enablement.,api_ready,paid,google_places_research,,vendor-specific; see API docs,True,"seed daily_cap=100, monthly_cap=1000, budget_aud=25.0",100,1000,25.0
paid_brave_search,Brave Search API,Connector-ready paid/research API stub for Brave Search API.,paid_research,Brave Search API,AU,Configurable; vendor coverage varies,https://brave.com/search/api/,https://brave.com/search/api/,,paid_api,json,Vendor terms — verify on vendor portal before enablement,Vendor attribution required when results are used,True,True,Confirm on vendor portal; seed caps are guardrails only,as published,,False,False,gov_open_data_pack,low,medium,high,web_research_review,False,Disabled by default. Owner signup + secure key storage required. Confirm Brave Search API free/paid tiers on vendor site.,api_ready,paid,gov_open_data_pack,,vendor-specific; see API docs,True,"seed daily_cap=100, monthly_cap=1000, budget_aud=20.0",100,1000,20.0
paid_here_places,HERE Places / Search,Connector-ready paid/research API stub for HERE Places / Search.,paid_research,HERE Places / Search,AU,Configurable; vendor coverage varies,https://www.here.com/docs/bundle/places-api-developer-guide,https://www.here.com/docs/bundle/places-api-developer-guide,,paid_api,json,Vendor terms — verify on vendor portal before enablement,Vendor attribution required when results are used,True,True,Confirm on vendor portal; seed caps are guardrails only,as published,,False,False,gov_open_data_pack,low,medium,high,web_research_review,False,Disabled by default. Owner signup + secure key storage required. Confirm HERE developer plan pricing before enablement.,api_ready,paid,gov_open_data_pack,,vendor-specific; see API docs,True,"seed daily_cap=50, monthly_cap=500, budget_aud=20.0",50,500,20.0
