organisation_name,organisation_type,coverage,state_code,website_url,contact_role,email,source_url,source_checked_at,publication_context,relevance_reason,no_unsolicited_warning,personal_or_ambiguous,notes
BIG4 Holiday Parks,park_network,National,VIC,https://www.big4.com.au/,Park and corporate enquiries,chat@sodacommunications.com.au,https://www.big4.com.au/media-enquiries,2026-07-30,"Official page distinguishes park/corporate from editorial enquiries","Park network guests may benefit from nearby caravan services and verified stays",0,0,"Corporate/resource proposal; do not use editorial-only inbox"
G'day Group and Discovery Parks,park_network,National,SA,https://www.discoveryholidayparks.com.au/,Travel trade and industry partners,tradesupport@gdaygroup.com.au,https://www.discoveryholidayparks.com.au/about/contact,2026-07-30,"Official contact page welcomes partnership opportunities and routes industry partners","National park guests may benefit from service and stay discovery",0,0,"Industry-partner proposal"
KUI Parks,park_network,National,,https://kuiparks.com.au/,General network contact,info@kuiparks.com.au,https://kuiparks.com.au/wp-content/uploads/KuiParks-KuiMapParkFinder-Summer-2025-Web.pdf,2026-07-30,"Official network park finder publishes an organisation address","Independent park network and guests align with VanAssist stays and local help",0,0,"Verify address on current site immediately before approval"
Camplify,rental_fleet,National,NSW,https://www.camplify.com.au/,Partnerships,partnerships@camplify.com.au,https://www.big4.com.au/camplifylistyourvan,2026-07-30,"Official joint BIG4 page publishes a partnerships address","RV renters and owners need nearby service fuel and stay discovery",0,0,"Verify against a Camplify-controlled source before approval"
Jayco Australia,manufacturer,National,VIC,https://www.jayco.com.au/,General corporate,info@jayco.com.au,https://www.jayco.com.au/data-retention-policy,2026-07-30,"Official corporate policy publishes the general address","Dealer and service network data collaboration could improve owner support",0,0,"Manual review; customer/general address rather than explicit partnerships"
New Age Caravans,manufacturer,National,VIC,https://www.newagecaravans.com.au/,General corporate,info@newagecaravans.com.au,https://dealer.newagecaravans.com.au/contact/,2026-07-30,"Official dealer site publishes the general address","Dealer and owner service-discovery collaboration may be relevant",0,0,"Manual review only"
Zone RV,manufacturer,National,QLD,https://www.zonerv.com.au/,Reception,reception@zonerv.com.au,https://www.zonerv.com.au/contact/,2026-07-30,"Official manufacturer contact page publishes reception address","Owner support and service-discovery collaboration may be relevant",0,0,"Manual review only"
Caravan Clubs of Queensland,club_federation,Queensland,QLD,https://www.caravanclubsqld.org.au/,Secretary,ccqsecretary@gmail.com,https://www.caravanclubsqld.org.au/,2026-07-30,"Official umbrella body routes correspondence to Secretary","Represents 27 caravan clubs and can decide whether to circulate a free member resource",0,0,"Federation-first approach"
Caravanning Queensland,industry_association,Queensland,QLD,https://www.caravanqld.com.au/,General association,info@caravanqld.com.au,https://www.caravanqld.com.au/contact,2026-07-30,"Official Queensland industry body contact page","Represents caravan parks dealers manufacturers and service businesses",0,0,"Industry collaboration proposal"
Four Wheel Drive Queensland,touring_association,Queensland,QLD,https://www.4wdqld.com.au/,Public relations,pr@4wdqld.com.au,https://www.4wdqld.com.au/about-us/,2026-07-30,"Official association page publishes PR role address","Remote touring members need fuel repairs tyres batteries towing and suitable stays",0,0,"Peak-body member-resource proposal"
Queensland Country Tourism,tourism_body,Queensland,QLD,https://corporate.queenslandcountrytourism.com.au/,Marketing,marketing@queenslandcountrytourism.com.au,https://corporate.queenslandcountrytourism.com.au/contact,2026-07-30,"Official RTO contact page publishes marketing role","Regional drive visitors can benefit from location-based caravan services and stays",0,0,"Regional visitor-resource proposal"
Tourism and Events Queensland,tourism_body,Queensland,QLD,https://www.queensland.com/,Media and product leads,media@queensland.com,https://www.queensland.com/us/en/info/about-us,2026-07-30,"Official page invites product innovation deal and story leads","Free Queensland road-travel resource may have an earned-media or visitor-service angle",0,0,"Genuine story/resource pitch only"
Capricorn Enterprise,tourism_body,Central Queensland,QLD,https://capricornenterprise.com.au/,Marketing,marketing@capricornenterprise.com.au,https://capricornenterprise.com.au/privacy-policy/,2026-07-30,"Official RTO page publishes marketing role","Strong Central Queensland caravan-route and local-business relevance",0,0,"High-priority regional resource proposal"
Outback Queensland Tourism Association,tourism_body,Outback Queensland,QLD,https://outbackqueensland.com.au/,Marketing,marketing@outbackqueensland.com.au,https://outbackqueensland.com.au/pdf/Working-with-OQTA-2024-WEB.pdf,2026-07-30,"Official partnership material publishes marketing role","Remote route safety services fuel and stay discovery are directly relevant",0,0,"Verify current mailbox immediately before approval"
Bundaberg Tourism,tourism_body,Bundaberg Region,QLD,https://www.bundabergregion.org/,General organisation,info@bundabergregion.org,https://www.bundabergregion.org/corporate-hub/about-bt/,2026-07-30,"Official regional tourism corporate page publishes organisation route","Drive and caravan visitors need regional services and places to stay",0,0,"Visitor-resource proposal"
Visit Sunshine Coast,tourism_body,Sunshine Coast,QLD,https://corporate.visitsunshinecoast.com/,Trade,trade@visitsunshinecoast.com,https://corporate.visitsunshinecoast.com/contact-us/,2026-07-30,"Official RTO page invites organisations to work with its trade team","Caravan and road visitors can benefit from local service and stay discovery",0,0,"Trade/resource proposal"
Queensland Caravan Club,club,Queensland,QLD,https://www.qldcaravanclub.com.au/,Secretary,secretary@qldcaravanclub.com.au,https://www.qldcaravanclub.com.au/html/contact/contact.html,2026-07-30,"Official contact page directs enquiries to Secretary","Club members are direct users of caravan travel services and stays",0,0,"One member-resource introduction"
Campervan Club of Queensland,club,Queensland,QLD,https://www.campervanclubqld.org.au/,General club,campervanclubofqld@gmail.com,https://www.campervanclubqld.org.au/contact-us,2026-07-30,"Official club contact page publishes general club address","Campervan travellers are direct users of local help fuel and stays",0,0,"Volunteer inbox; human review"
Capricorn Caravan and Camper Club,club,Central Queensland,QLD,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,General club,capricorncaravanclub@gmail.com,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,2026-07-30,"Official state federation directory publishes club address","Central Queensland caravan members are exact users of the free service",0,0,"Prefer federation circulation first"
Bundaberg Caravan Club,club,Bundaberg,QLD,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,Secretary,secretarybundabergcc@gmail.com,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,2026-07-30,"Official state federation directory publishes Secretary address","Regional caravan club members are exact users of the free service",0,0,"Prefer federation circulation first"
Hervey Bay Caravan Club,club,Fraser Coast,QLD,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,General club,herveybaycc@gmail.com,https://www.caravanclubsqld.org.au/affiliated-caravan-clubs/,2026-07-30,"Official state federation directory publishes club address","Fraser Coast caravan club members are exact users of the free service",0,0,"Prefer federation circulation first"
NSW Association of Caravan Clubs,club_federation,New South Wales,NSW,https://www.caravanclubsnsw.asn.au/,Secretary,secretary@caravanclubsnsw.asn.au,https://www.caravanclubsnsw.asn.au/layout.php?p=2,2026-07-30,"Official federation page identifies Secretary contact","Federation can review and optionally share a free member resource",0,0,"Federation-first approach"
Caravan Camping Industry Association NSW,industry_association,New South Wales and ACT,NSW,https://www.caravancampingnsw.com/,General association,admin@cciansw.com.au,https://www.caravancampingnsw.com/contact-us/,2026-07-30,"Official association contact page","Represents parks RV manufacturing retail and repair businesses",0,0,"Partnership/member-resource enquiry"
4WD NSW and ACT,touring_association,New South Wales and ACT,NSW,https://www.4wdnow.com.au/,Secretary,secretary@4wdnow.com.au,https://www.4wdnow.com.au/pages/contact-us,2026-07-30,"Official contact page routes other matters to Secretary","Touring members need regional fuel repair recovery and stay information",0,0,"Peak-body member-resource proposal"
Canberra Caravan Club,club,Australian Capital Territory,ACT,https://canberracaravanclub.org/,Secretary,secretary@canberracaravanclub.org,https://canberracaravanclub.org/wp-content/uploads/2025/10/ccc_information_booklet-2025.pdf,2026-07-30,"Official current club booklet publishes Secretary role mailbox","Members are direct users of national caravan services fuel and stays",0,0,"One member-resource introduction"
Hunter Coastal Caravan and Camping Club,club,Hunter and Central Coast,NSW,https://www.hcccc.asn.au/,Secretary,secretary@hcccc.asn.au,https://www.hcccc.asn.au/layout.php?p=-2,2026-07-30,"Official club contact page routes to Secretary","Members travel regionally and need caravan service and stay discovery",0,0,"One member-resource introduction"
Association of Caravan Clubs Victoria and Their Members,club_federation,Victoria and Tasmania,VIC,https://www.accvic.org.au/,Administration,admin@accvic.org.au,https://www.accvic.org.au/layout.php?p=-2,2026-07-30,"Official federation contact page publishes role address","Federation can review and optionally circulate a free member utility",0,0,"Federation-first approach"
Caravan Industry Victoria,industry_association,Victoria,VIC,https://caravanindustryvictoria.com.au/,Marketing,marketing@caravanindustryvictoria.com.au,https://caravantradeexpo.com.au/contact/,2026-07-30,"Official trade expo contact page publishes marketing role","Industry member and traveller-resource collaboration is directly relevant",0,0,"Use correctly spelled address"
Four Wheel Drive Victoria,touring_association,Victoria,VIC,https://www.4wdvictoria.org.au/,Office,office@fwdvictoria.org.au,https://www.4wdvictoria.org.au/index.php/about-us/contact-us,2026-07-30,"Official association contact page publishes office mailbox","Remote touring members need fuel repairs tyres batteries and stays",0,0,"Peak-body member-resource proposal"
RACV Caravan Club of Victoria,club,Victoria,VIC,https://www.racvcc.com.au/,Club Secretary,info@racvcc.com.au,https://www.accvic.org.au/layout.php?p=30,2026-07-30,"Official federation page labels address under Club Secretary","Monthly travelling RV club members are direct VanAssist users",0,0,"One member-resource introduction"
Caravanning Tasmania,industry_association,Tasmania,TAS,https://caravanningtas.com.au/,General association,hello@caravanningtas.com.au,https://caravanningtas.com.au/contact-us/,2026-07-30,"Official association contact page","Represents Tasmanian parks and caravanning operators",0,0,"Industry and visitor-resource proposal"
4WD Tasmania,touring_association,Tasmania,TAS,https://4wdtasmania.org/,Secretary,secretary.4wdtasmania@gmail.com,https://4wdtasmania.org/wordpress/contact-us/,2026-07-30,"Official association contact page explicitly lists enquiries address","Touring members need regional services fuel recovery and stays",0,0,"Peak-body member-resource proposal"
Tourism Tasmania,tourism_body,Tasmania,TAS,https://www.tourismtasmania.com.au/,Industry,industry@tourism.tas.gov.au,https://www.tourismtasmania.com.au/about-us/our-brand/off-season/,2026-07-30,"Official tourism industry resource page publishes role address","Free road-travel utility may support visitor confidence and dispersal",0,0,"Industry collaboration proposal"
Association of Caravan Clubs WA,club_federation,Western Australia,WA,https://www.accwa.asn.au/,Secretary,caravanswestsecretary@gmail.com,https://www.accwa.asn.au/contact-us/,2026-07-30,"Official federation contact page publishes Secretary address","Federation can review and optionally circulate a free member utility",0,0,"Federation-first approach"
Caravan and Camping WA,industry_association,Western Australia,WA,https://caravanwa.com.au/,General association,info@caravanwa.com.au,https://caravanwa.com.au/our-members/,2026-07-30,"Official state industry body publishes organisation contact","Member network spans parks repairers dealers manufacturers and tourism",0,0,"Ask for correct partnership/member-communications route"
WA 4WD Association,touring_association,Western Australia,WA,https://wa4wda.com.au/,Chair,chairman@wa4wda.com.au,https://cits.wa.gov.au/sport-and-recreation/state-sporting-associations,2026-07-30,"Official WA government association directory publishes role address","Remote touring members need fuel repairs recovery and stay discovery",0,0,"Verify current officer role on official association site before approval"
Geographe Caravan Club,club,Western Australia,WA,https://www.accwa.asn.au/club-directory-2/,Secretary,secretary@gcclub.com.au,https://www.accwa.asn.au/club-directory-2/,2026-07-30,"Official federation directory names Secretary role","Club members are direct users of caravan travel support",0,0,"Prefer federation circulation first"
Western Wanderers Caravan and Camping Club,club,Western Australia,WA,https://www.accwa.asn.au/club-directory-2/,Secretary,secretary@wwccc.au,https://www.accwa.asn.au/club-directory-2/,2026-07-30,"Official federation directory names Secretary role","Club members are direct users of caravan travel support",0,0,"Prefer federation circulation first"
Association of Caravan Clubs SA,club_federation,South Australia,SA,https://www.accsa.asn.au/,Secretary,secretary@accsa.asn.au,https://www.caravanandcampingsa.com.au/sa-caravan-clubs/,2026-07-30,"Official state industry page publishes federation Secretary address","Federation can review and optionally circulate a free member utility",0,0,"Federation-first approach"
Caravan and Camping SA,industry_association,South Australia,SA,https://www.caravanandcampingsa.com.au/,General association,contact@caravanandcampingsa.com.au,https://www.caravanandcampingsa.com.au/contact-us/,2026-07-30,"Official state industry body contact page","Industry and traveller-resource collaboration is directly relevant",0,0,"Industry proposal"
Four Wheel Drive SA,touring_association,South Australia,SA,https://www.4wdsa.asn.au/,Secretary,secretary@4wdsa.asn.au,https://www.4wdsa.asn.au/?page=home,2026-07-30,"Official peak association page publishes Secretary role","Remote touring members need fuel repairs recovery and stays",0,0,"Peak-body member-resource proposal"
Toyota LandCruiser Club SA,touring_association,South Australia,SA,https://tlccsa.asn.au/,Advertising publicity and sponsorship,advertise@tlccsa.asn.au,https://tlccsa.asn.au/toyota-land-cruiser-club-contacts,2026-07-30,"Official club page explicitly routes sponsorship and publicity enquiries","Touring and caravan members are directly relevant to VanAssist",0,0,"Strong correctly-routed club proposal"
Tourism Industry Council SA,tourism_body,South Australia,SA,https://ticsa.com.au/,Membership,membership@ticsa.com.au,https://ticsa.com.au/membership/,2026-07-30,"Official peak body membership page publishes role address","Free visitor utility and regional business discovery may interest member network",0,0,"Partnership/member-channel enquiry"
Tourism Central Australia,tourism_body,Central Australia,NT,https://www.discovercentralaustralia.com/,General organisation,info@discoverca.com.au,https://www.discovercentralaustralia.com/corporate-information,2026-07-30,"Official regional tourism corporate page","Remote drive visitors need fuel repair recovery and suitable stays",0,0,"Regional visitor-resource proposal"
Tourism Top End,tourism_body,Top End,NT,https://www.tourismtopend.org.au/,Membership,membership@tourismtopend.com.au,https://www.tourismtopend.org.au/news-item/18102/member-newsletter-10-january-2025,2026-07-30,"Official member newsletter publishes membership role","Road-travel utility may support visitor confidence and tourism members",0,0,"Verify current role address before approval"
Outback 4WD Club,touring_association,Alice Springs,NT,https://outback4wdclub.teamapp.com/,Secretary,outback4wdclub@gmail.com,https://outback4wdclub.teamapp.com/?p=1_4,2026-07-30,"Official club page identifies contact as Secretary","Remote touring club members need fuel repair recovery and stays",0,0,"One member-resource introduction"
Top End 4WD Club,touring_association,Top End,NT,https://www.topend4wd.club/,General club,topend4wd@gmail.com,https://www.topend4wd.club/,2026-07-30,"Official touring and camping club page publishes organisation address","Remote touring members are direct users of the free service",0,0,"One member-resource introduction"
Toyota LandCruiser Club Darwin,touring_association,Darwin and Northern Territory,NT,https://fourwheeldrivent.com/home,Secretary,secretary@tlccdarwin.com.au,https://fourwheeldrivent.com/home,2026-07-30,"Official NT association page publishes member-club Secretary address","Remote touring members need fuel repair recovery and suitable stays",0,0,"One member-resource introduction"
RACQ,other,Queensland,QLD,https://www.racq.com.au/,Sponsorship,media@racq.com.au,https://www.racq.com.au/about-us/community/join-us,2026-07-30,"Official page states unsolicited sponsorship requests are not accepted","Potential road-travel relevance does not override the explicit warning",1,0,"DO NOT CONTACT automatically; only a separately assessed genuine editorial story could use media route"
